dataset,pair_id,group_id,piece_a_id,piece_b_id,event_index,event_id,gt_a_s,gt_b_s,pred_b_s,signed_error_ms,abs_error_ms,error_sign,gt_b_frame,pred_b_frame,off_50ms,off_100ms,off_200ms
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,49,49.999,192.748843537,190.552789116,187.04988662131518,-3502.902494684832,3502.902494684832,early,38197,37495,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,74,74.999,180.114285714,190.568321995,187.384126984127,-3184.1950108729975,3184.1950108729975,early,38200,37562,True,True,True
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,48,49,188.871111111,187.989070295,186.08743764161224,-1901.6326533877645,1901.6326533877645,early,37683,37302,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,50,50,92.350657596,91.309773243,93.13387755064852,1824.1043076485255,1824.1043076485255,late,18303,18669,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,84,83.999,238.052244898,232.56,230.9451247165533,-1614.8752834467075,1614.8752834467075,early,46618,46294,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,49,49,90.745578231,89.826394558,91.40272108755782,1576.326529557818,1576.326529557818,late,18006,18322,True,True,True
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,64,64.999,74.481632653,73.746575964,72.39138321989343,-1355.1927441065743,1355.1927441065743,early,14783,14511,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,51,51,94.185034014,93.191927438,94.47437641762811,1282.448979628114,1282.448979628114,late,18681,18938,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,21,22,85.12723356,82.714217687,83.92496598630385,1210.7482993038445,1210.7482993038445,late,16580,16823,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,73,74,176.663786848,187.547142857,186.41163265298866,-1135.5102040113536,1135.5102040113536,early,37595,37367,True,True,True
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,26,27,98.72829932,100.558866213,101.66163265333334,1102.7664403333404,1102.7664403333404,late,20157,20379,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,60,60.999,257.091337868,240.434875283,239.48571428571427,-949.1609972857304,949.1609972857304,early,48196,48006,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,76,76,207.473582766,199.920884354,200.80374149615872,882.8571421587128,882.8571421587128,late,40075,40252,True,True,True
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,27,28,102.433446712,103.990294785,104.8467120181406,856.4172331405899,856.4172331405899,late,20845,21017,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,56,57,236.279138322,221.300385488,222.14126984127438,840.8843532743902,840.8843532743902,late,44361,44529,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,66,66,178.042675737,171.549024943,172.34063492067347,791.6099776734598,791.6099776734598,late,34388,34546,True,True,True
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,45,46,185.294580499,176.547369615,177.32698412698412,779.6145119841071,779.6145119841071,late,35390,35546,True,True,True
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,48,48,89.129795918,88.315306122,89.09487528307938,779.5691610793796,779.5691610793796,late,17703,17859,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,67,67,181.292630385,175.13430839,175.90487528295918,770.5668929591809,770.5668929591809,late,35106,35261,True,True,True
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,68,68,183.925260771,177.957732426,178.65895691609978,701.2244900997757,701.2244900997757,late,35672,35813,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,35,36,87.090045351,91.472267574,92.16850340088662,696.2358268866211,696.2358268866211,late,18336,18476,True,True,True
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,39,40,98.259818594,102.657641723,101.99632653050793,-661.3151924920686,661.3151924920686,early,20578,20446,True,True,True
