dataset,pair_id,group_id,piece_a_id,piece_b_id,method,duration_s,memory_mb,mae,median_ae,ar_50ms,ar_100ms,ar_200ms,runtime_s,n_gt_points
swd,D911-01_HU33_SC06,D911-01,Schubert_D911-01_HU33,Schubert_D911-01_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,138
swd,D911-02_HU33_SC06,D911-02,Schubert_D911-02_HU33,Schubert_D911-02_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,53
swd,D911-03_HU33_SC06,D911-03,Schubert_D911-03_HU33,Schubert_D911-03_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,57
swd,D911-04_HU33_SC06,D911-04,Schubert_D911-04_HU33,Schubert_D911-04_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,110
swd,D911-05_HU33_SC06,D911-05,Schubert_D911-05_HU33,Schubert_D911-05_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,83
swd,D911-06_HU33_SC06,D911-06,Schubert_D911-06_HU33,Schubert_D911-06_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,61
swd,D911-07_HU33_SC06,D911-07,Schubert_D911-07_HU33,Schubert_D911-07_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,75
swd,D911-08_HU33_SC06,D911-08,Schubert_D911-08_HU33,Schubert_D911-08_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,70
swd,D911-09_HU33_SC06,D911-09,Schubert_D911-09_HU33,Schubert_D911-09_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,44
swd,D911-10_HU33_SC06,D911-10,Schubert_D911-10_HU33,Schubert_D911-10_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,68
swd,D911-11_HU33_SC06,D911-11,Schubert_D911-11_HU33,Schubert_D911-11_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,90
swd,D911-12_HU33_SC06,D911-12,Schubert_D911-12_HU33,Schubert_D911-12_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,49
swd,D911-13_HU33_SC06,D911-13,Schubert_D911-13_HU33,Schubert_D911-13_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,95
swd,D911-14_HU33_SC06,D911-14,Schubert_D911-14_HU33,Schubert_D911-14_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,46
swd,D911-15_HU33_SC06,D911-15,Schubert_D911-15_HU33,Schubert_D911-15_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,44
swd,D911-16_HU33_SC06,D911-16,Schubert_D911-16_HU33,Schubert_D911-16_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,49
swd,D911-17_HU33_SC06,D911-17,Schubert_D911-17_HU33,Schubert_D911-17_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,50
swd,D911-18_HU33_SC06,D911-18,Schubert_D911-18_HU33,Schubert_D911-18_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,20
swd,D911-19_HU33_SC06,D911-19,Schubert_D911-19_HU33,Schubert_D911-19_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,45
swd,D911-20_HU33_SC06,D911-20,Schubert_D911-20_HU33,Schubert_D911-20_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,85
swd,D911-21_HU33_SC06,D911-21,Schubert_D911-21_HU33,Schubert_D911-21_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,32
swd,D911-22_HU33_SC06,D911-22,Schubert_D911-22_HU33,Schubert_D911-22_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,65
swd,D911-23_HU33_SC06,D911-23,Schubert_D911-23_HU33,Schubert_D911-23_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,34
swd,D911-24_HU33_SC06,D911-24,Schubert_D911-24_HU33,Schubert_D911-24_SC06,oracle,,,0.0,0.0,1.0,1.0,1.0,0.0,62
